Name,Group,Path,URL,AdditionalScrape,AdditionalCode,is_adopted
DJ_CommercialVehiclesTrucks,dj_sectors,raw_DJCommercialVehiclesTrucks_price.parquet,indices/dj-commercial-vehicles---trucks,None,None,TRUE
DJ_IndustrialMachinery,dj_sectors,raw_DJIndustrialMachinery_price.parquet,indices/dj-industrial-machinery,None,None,TRUE
DJ_IndustrialTransportation,dj_sectors,raw_DJIndustrialTransportation_price.parquet,indices/dj-industrial-transportation,None,None,TRUE
DJ_DeliveryServices,dj_sectors,raw_DJDeliveryServices_price.parquet,indices/dj-delivery-services,None,None,TRUE
DJ_MarineTransport,dj_sectors,raw_DJMarineTransport_price.parquet,indices/dj-marine-transportation,None,None,TRUE
DJ_Railroads,dj_sectors,raw_DJRailroads_price.parquet,indices/dj-railroads,None,None,TRUE
DJ_TransportationServices,dj_sectors,raw_DJTransportationServices_price.parquet,indices/dj-transportation-services,None,None,FALSE
DJ_Trucking,dj_sectors,raw_DJTrucking_price.parquet,indices/dj-trucking,None,None,TRUE
DJ_SupportServices,dj_sectors,raw_DJSupportServices_price.parquet,indices/dj-support-services,None,None,TRUE
DJ_BizSupportServices,dj_sectors,raw_DJBizSupportServices_price.parquet,indices/dj-business-support-services,None,None,TRUE
DJ_BizTrainingEmployAgencies,dj_sectors,raw_DJBizTrainingEmployAgencies.parquet,indices/dj-business-training---employment,None,None,TRUE
DJ_FinancialAdministration,dj_sectors,raw_DJFinancialAdministration.parquet,indices/dj-financial-administration,None,None,TRUE
DJ_IndustrialSuppliers,dj_sectors,raw_DJIndustrialSuppliers.parquet,indices/dj-industrial-suppliers,None,None,TRUE
DJ_WasteDisposalServices,dj_sectors,raw_DJWasteDisposalServices_price.parquet,indices/dj-waste---disposal-services,None,None,TRUE
DJ_ConsumerGoods,dj_sectors,raw_DJConsumerGoods_price.parquet,indices/dj-consumer-goods,None,None,TRUE
DJ_AutomobilesParts,dj_sectors,raw_DJAutomobilesParts_price.parquet,indices/dj-automobiles---parts,None,None,TRUE
DJ_Automobiles,dj_sectors,raw_DJAutomobiles_price.parquet,indices/dj-automobiles,None,None,TRUE
DJ_AutoParts,dj_sectors,raw_DJAutoParts_price.parquet,indices/dj-auto-parts,None,None,TRUE
DJ_FoodBeverage,dj_sectors,raw_DJFoodBeverage_price.parquet,indices/dj-food---beverage,None,None,TRUE
DJ_Beverages,dj_sectors,raw_DJBeverages_price.parquet,indices/dj-beverages,None,None,TRUE
DJ_Brewers,dj_sectors,raw_DJBrewers_price.parquet,indices/dj-brewers,None,None,TRUE
DJ_DistillersVinters,dj_sectors,raw_DJDistillersVinters_price.parquet,indices/dj-distillers---vintners,None,None,TRUE
DJ_SoftDrinks,dj_sectors,raw_DJSoftDrinks_price.parquet,indices/dj-soft-drinks,None,None,TRUE
