Code,CompanyName,MarketCodeName,Sector,SubSector
4676,フジ・メディア・ホールディングス,プライム,メディア・医薬品卸,メディア
7860,エイベックス,プライム,メディア・医薬品卸,メディア
9401,ＴＢＳホールディングス,プライム,メディア・医薬品卸,メディア
9404,日本テレビホールディングス,プライム,メディア・医薬品卸,メディア
9409,テレビ朝日ホールディングス,プライム,メディア・医薬品卸,メディア
9412,スカパーＪＳＡＴホールディングス,プライム,メディア・医薬品卸,メディア
9413,テレビ東京ホールディングス,プライム,メディア・医薬品卸,メディア
4681,リゾートトラスト,プライム,レジャー・紳士服,レジャー・観光
8022,美津濃,プライム,レジャー・紳士服,レジャー・観光
4680,ラウンドワン,プライム,レジャー・紳士服,レジャー・観光
9603,エイチ・アイ・エス,プライム,レジャー・紳士服,レジャー・観光
9722,藤田観光,プライム,レジャー・紳士服,レジャー・観光
7599,ＩＤＯＭ,プライム,レジャー・紳士服,レジャー・観光
9616,共立メンテナンス,プライム,レジャー・紳士服,レジャー・観光
8136,サンリオ,プライム,レジャー・紳士服,紳士服
8214,ＡＯＫＩホールディングス,プライム,レジャー・紳士服,紳士服
8219,青山商事,プライム,レジャー・紳士服,紳士服
3002,グンゼ,プライム,衣料製造・住設,衣料製造
3608,ＴＳＩホールディングス,プライム,衣料製造・住設,衣料製造
8016,オンワードホールディングス,プライム,衣料製造・住設,衣料製造
3591,ワコールホールディングス,プライム,衣料製造・住設,衣料製造
6436,アマノ,プライム,衣料製造・住設,衣料製造
6457,グローリー,プライム,衣料製造・住設,衣料製造
8008,ヨンドシーホールディングス,プライム,衣料製造・住設,衣料製造
4046,大阪ソーダ,プライム,衣料製造・住設,化学（特殊）
4212,積水樹脂,プライム,衣料製造・住設,化学（特殊）
4958,長谷川香料,プライム,衣料製造・住設,化学（特殊）
3201,日本毛織,プライム,衣料製造・住設,住宅・空間
5930,文化シヤッター,プライム,衣料製造・住設,住宅設備2
5943,ノーリツ,プライム,衣料製造・住設,住宅設備2
7981,タカラスタンダード,プライム,衣料製造・住設,住宅設備2
8130,サンゲツ,プライム,衣料製造・住設,住宅設備2
4553,東和薬品,プライム,医薬（中堅）,ジェネリック医薬
4887,サワイグループホールディングス,プライム,医薬（中堅）,ジェネリック医薬
4521,科研製薬,プライム,医薬（中堅）,ジェネリック医薬
4530,久光製薬,プライム,医薬（中堅）,医薬（特殊）
4540,ツムラ,プライム,医薬（中堅）,医薬（特殊）
4544,Ｈ．Ｕ．グループホールディングス,プライム,医薬（中堅）,医薬（特殊）
4694,ビー・エム・エル,プライム,医薬（中堅）,医薬（特殊）
4516,日本新薬,プライム,医薬（中堅）,医薬品1
4528,小野薬品工業,プライム,医薬（中堅）,医薬品1
4536,参天製薬,プライム,医薬（中堅）,医薬品1
4547,キッセイ薬品工業,プライム,医薬（中堅）,医薬品2
4569,杏林製薬,プライム,医薬（中堅）,医薬品2
4151,協和キリン,プライム,医薬品（大手）,医薬品大手2
4507,塩野義製薬,プライム,医薬品（大手）,医薬品大手2
4519,中外製薬,プライム,医薬品（大手）,医薬品大手2
4523,エーザイ,プライム,医薬品（大手）,医薬品大手2
2331,綜合警備保障,プライム,医薬品（大手）,医療機器・セキュリティ
6869,シスメックス,プライム,医薬品（大手）,医療機器・セキュリティ
9735,セコム,プライム,医薬品（大手）,医療機器・セキュリティ
4543,テルモ,プライム,医薬品（大手）,医療機器・セキュリティ
7747,朝日インテック,プライム,医薬品（大手）,医療機器・セキュリティ
4502,武田薬品工業,プライム,医薬品（大手）,医薬品大手
4503,アステラス製薬,プライム,医薬品（大手）,医薬品大手
4506,住友ファーマ,プライム,医薬品（大手）,医薬品大手
4568,第一三共,プライム,医薬品（大手）,医薬品大手
4578,大塚ホールディングス,プライム,医薬品（大手）,医薬品大手
4004,レゾナック・ホールディングス,プライム,化学,カーボン
5301,東海カーボン,プライム,化学,カーボン
5302,日本カーボン,プライム,化学,カーボン
5310,東洋炭素,プライム,化学,カーボン
4061,デンカ,プライム,化学,化学（機能）
4118,カネカ,プライム,化学,化学（機能）
4008,住友精化,プライム,化学,機能性化学品
4114,日本触媒,プライム,化学,機能性化学品
4471,三洋化成工業,プライム,化学,機能性化学品
4088,エア・ウォーター,プライム,化学,酸素
4091,日本酸素ホールディングス,プライム,化学,酸素
4205,日本ゼオン,プライム,化学,総合化学
4403,日油,プライム,化学,総合化学
3401,帝人,プライム,化学,総合化学
4042,東ソー,プライム,化学,総合化学
3407,旭化成,プライム,化学,総合化学
4182,三菱瓦斯化学,プライム,化学,総合化学
4202,ダイセル,プライム,化学,総合化学
4183,三井化学,プライム,化学,総合化学
4188,三菱ケミカルグループ,プライム,化学,総合化学
4631,ＤＩＣ,プライム,化学,総合化学
3402,東レ,プライム,化学,総合化学
4005,住友化学,プライム,化学,総合化学
3405,クラレ,プライム,化学,総合化学
4208,ＵＢＥ,プライム,化学,総合化学
9101,日本郵船,プライム,海運,海運（大手）
9104,商船三井,プライム,海運,海運（大手）
9107,川崎汽船,プライム,海運,海運（大手）
9110,ＮＳユナイテッド海運,プライム,海運,海運（中堅）
9119,飯野海運,プライム,海運,海運（中堅）
6419,マースグループホールディングス,プライム,外食1,パチンコ周辺機器
6430,ダイコク電機,プライム,外食1,パチンコ周辺機器
7611,ハイデイ日高,プライム,外食1,外食1
1419,タマホーム,プライム,外食1,外食1
7630,壱番屋,プライム,外食1,外食1
9470,学研ホールディングス,プライム,外食1,外食1
3091,ブロンコビリー,プライム,外食1,外食1
8200,リンガーハット,プライム,外食1,外食1
2681,ゲオホールディングス,プライム,外食1,外食1
7581,サイゼリヤ,プライム,外食1,外食1
9861,吉野家ホールディングス,プライム,外食1,外食1
3097,物語コーポレーション,プライム,外食1,外食1
7550,ゼンショーホールディングス,プライム,外食1,外食1
8111,ゴールドウイン,プライム,外食1,外食1
8179,ロイヤルホールディングス,プライム,外食1,外食1
3387,クリエイト・レストランツ・ホールディングス,プライム,外食1,外食1
3397,トリドールホールディングス,プライム,外食1,外食1
7616,コロワイド,プライム,外食1,外食1
2685,アダストリア,プライム,外食2・アパレル,アパレル
2726,パルグループホールディングス,プライム,外食2・アパレル,アパレル
7606,ユナイテッドアローズ,プライム,外食2・アパレル,アパレル
9832,オートバックスセブン,プライム,外食2・アパレル,カー用品店
9882,イエローハット,プライム,外食2・アパレル,カー用品店
1766,東建コーポレーション,プライム,外食2・アパレル,外食2
2695,くら寿司,プライム,外食2・アパレル,外食2
4825,ウェザーニューズ,プライム,外食2・アパレル,外食2
8153,モスフードサービス,プライム,外食2・アパレル,外食2
3028,アルペン,プライム,外食2・アパレル,外食2
3087,ドトール・日レスホールディングス,プライム,外食2・アパレル,外食2
7421,カッパ・クリエイト,プライム,外食2・アパレル,外食2
8160,木曽路,プライム,外食2・アパレル,外食2
8281,ゼビオホールディングス,プライム,外食2・アパレル,外食2
9828,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,スタンダード,外食2・アパレル,外食2
5857,ＡＲＥホールディングス,プライム,金属・資源,貴金属回収
7456,松田産業,プライム,金属・資源,貴金属回収
8015,豊田通商,プライム,金属・資源,商社2
8078,阪和興業,プライム,金属・資源,商社2
8001,伊藤忠商事,プライム,金属・資源,商社2
8088,岩谷産業,プライム,金属・資源,商社2
8002,丸紅,プライム,金属・資源,商社2
8053,住友商事,プライム,金属・資源,商社2
3101,東洋紡,プライム,金属・資源,商社2
2768,双日,プライム,金属・資源,商社2
8020,兼松,プライム,金属・資源,商社2
8031,三井物産,プライム,金属・資源,商社2
8058,三菱商事,プライム,金属・資源,商社2
4043,トクヤマ,プライム,金属・資源,素材・金属資源
5706,三井金属鉱業,プライム,金属・資源,素材・金属資源
5713,住友金属鉱山,プライム,金属・資源,素材・金属資源
1515,日鉄鉱業,プライム,金属・資源,素材・金属資源
5714,ＤＯＷＡホールディングス,プライム,金属・資源,素材・金属資源
5408,中山製鋼所,プライム,金属・資源,素材・金属資源
5410,合同製鐵,プライム,金属・資源,素材・金属資源
5445,東京鐵鋼,プライム,金属・資源,素材・金属資源
5711,三菱マテリアル,プライム,金属・資源,素材・金属資源
7990,グローブライド,プライム,金属・資源,素材・金属資源
5411,ＪＦＥホールディングス,プライム,金属・資源,鉄鋼・アルミ
5440,共英製鋼,プライム,金属・資源,鉄鋼・アルミ
5444,大和工業,プライム,金属・資源,鉄鋼・アルミ
5471,大同特殊鋼,プライム,金属・資源,鉄鋼・アルミ
5401,日本製鉄,プライム,金属・資源,鉄鋼・アルミ
5423,東京製鐵,プライム,金属・資源,鉄鋼・アルミ
5741,ＵＡＣＪ,プライム,金属・資源,鉄鋼・アルミ
5482,愛知製鋼,プライム,金属・資源,鉄鋼・アルミ
5703,日本軽金属ホールディングス,プライム,金属・資源,鉄鋼・アルミ
7004,カナデビア,プライム,金属・資源,鉄鋼・アルミ
7915,ＮＩＳＳＨＡ,プライム,工作機械・デバイス,デバイス部品
4062,イビデン,プライム,工作機械・デバイス,デバイス部品
5344,ＭＡＲＵＷＡ,プライム,工作機械・デバイス,デバイス部品
6758,ソニーグループ,プライム,工作機械・デバイス,デバイス部品
6806,ヒロセ電機,プライム,工作機械・デバイス,デバイス部品
6981,村田製作所,プライム,工作機械・デバイス,デバイス部品
6951,日本電子,プライム,工作機械・デバイス,デバイス部品
6976,太陽誘電,プライム,工作機械・デバイス,デバイス部品
6141,ＤＭＧ森精機,プライム,工作機械・デバイス,工作機械・産業装置
5631,日本製鋼所,プライム,工作機械・デバイス,工作機械・産業装置
6103,オークマ,プライム,工作機械・デバイス,工作機械・産業装置
6104,芝浦機械,プライム,工作機械・デバイス,工作機械・産業装置
6302,住友重機械工業,プライム,工作機械・デバイス,工作機械・産業装置
6113,アマダ,プライム,工作機械・デバイス,工作機械・産業装置
6954,ファナック,プライム,工作機械・デバイス,工作機械・産業装置
9984,ソフトバンクグループ,プライム,工作機械・デバイス,工作機械・産業装置
6101,ツガミ,プライム,工作機械・デバイス,工作機械・産業装置
6277,ホソカワミクロン,プライム,工作機械・デバイス,工作機械・産業装置
6284,日精エー・エス・ビー機械,プライム,工作機械・デバイス,工作機械・産業装置
6118,アイダエンジニアリング,プライム,工作機械・デバイス,工作機械・産業装置
6135,牧野フライス製作所,プライム,工作機械・デバイス,工作機械・産業装置
6140,旭ダイヤモンド工業,プライム,工作機械・デバイス,工作機械・産業装置
6143,ソディック,プライム,工作機械・デバイス,工作機械・産業装置
6376,日機装,プライム,工作機械・デバイス,工作機械・産業装置
7105,三菱ロジスネクスト,スタンダード,工作機械・デバイス,工作機械・産業装置
6770,アルプスアルパイン,プライム,工作機械・デバイス,精密デバイス
6807,日本航空電子工業,プライム,工作機械・デバイス,精密デバイス
6762,ＴＤＫ,プライム,工作機械・デバイス,精密デバイス
6479,ミネベアミツミ,プライム,工作機械・デバイス,精密デバイス
6407,ＣＫＤ,プライム,工場インフラ,工場インフラ機器
6622,ダイヘン,プライム,工場インフラ,工場インフラ機器
6859,エスペック,プライム,工場インフラ,工場インフラ機器
3433,トーカロ,プライム,工場インフラ,工場インフラ機器
6516,山洋電気,プライム,工場インフラ,工場インフラ機器
4971,メック,プライム,工場インフラ,工場インフラ機器
6652,ＩＤＥＣ,プライム,工場インフラ,工場インフラ機器
6914,オプテックスグループ,プライム,工場インフラ,工場インフラ機器
6966,三井ハイテック,プライム,工場インフラ,工場インフラ機器
6278,ユニオンツール,プライム,工場インフラ,産機2
6363,酉島製作所,プライム,工場インフラ,産機2
7970,信越ポリマー,プライム,工場インフラ,電子機器製造支援
8154,加賀電子,プライム,工場インフラ,電子機器製造支援
6861,キーエンス,プライム,産業制御機器,産業制御機器
7741,ＨＯＹＡ,プライム,産業制御機器,産業制御機器
6268,ナブテスコ,プライム,産業制御機器,産業制御機器
9962,ミスミグループ本社,プライム,産業制御機器,産業制御機器
6273,ＳＭＣ,プライム,産業制御機器,産業制御機器
6481,ＴＨＫ,プライム,産業制御機器,産業制御機器
4612,日本ペイントホールディングス,プライム,産業制御機器,塗料
4613,関西ペイント,プライム,産業制御機器,塗料
5101,横浜ゴム,プライム,自動車,タイヤ
5105,ＴＯＹＯ　ＴＩＲＥ,プライム,自動車,タイヤ
5108,ブリヂストン,プライム,自動車,タイヤ
5110,住友ゴム工業,プライム,自動車,タイヤ
7203,トヨタ自動車,プライム,自動車,完成車（大手）
7267,本田技研工業,プライム,自動車,完成車（大手）
7201,日産自動車,プライム,自動車,完成車（中堅）
7211,三菱自動車工業,プライム,自動車,完成車（中堅）
7261,マツダ,プライム,自動車,完成車（中堅）
7270,ＳＵＢＡＲＵ,プライム,自動車,完成車（中堅）
7202,いすゞ自動車,プライム,自動車,完成車（特殊）
7272,ヤマハ発動機,プライム,自動車,完成車（特殊）
7205,日野自動車,プライム,自動車,完成車（特殊）
7269,スズキ,プライム,自動車,完成車（特殊）
5949,ユニプレス,プライム,自動車,自動車モジュール・内装系
5975,東プレ,プライム,自動車,自動車モジュール・内装系
5991,日本発條,プライム,自動車,自動車モジュール・内装系
3116,トヨタ紡織,プライム,自動車,自動車モジュール・内装系
7259,アイシン,プライム,自動車,自動車モジュール・内装系
7282,豊田合成,プライム,自動車,自動車モジュール・内装系
6995,東海理化電機製作所,プライム,自動車,自動車モジュール・内装系
5191,住友理工,プライム,自動車,自動車モジュール・内装系
7283,愛三工業,プライム,自動車,自動車モジュール・内装系
7220,武蔵精密工業,プライム,自動車,自動車モジュール・内装系
7246,プレス工業,プライム,自動車,自動車モジュール・内装系
7278,エクセディ,プライム,自動車,自動車モジュール・内装系
7296,エフ・シー・シー,プライム,自動車,自動車モジュール・内装系
7313,テイ・エス　テック,プライム,自動車,自動車モジュール・内装系
5334,日本特殊陶業,プライム,自動車,自動車部品（電装）
5802,住友電気工業,プライム,自動車,自動車部品（電装）
6201,豊田自動織機,プライム,自動車,自動車部品（電装）
6592,マブチモーター,プライム,自動車,自動車部品（電装）
6902,デンソー,プライム,自動車,自動車部品（電装）
6923,スタンレー電気,プライム,自動車,自動車部品（電装）
7276,小糸製作所,プライム,自動車,自動車部品（電装）
7988,ニフコ,プライム,自動車,自動車部品（電装）
6961,エンプラス,プライム,自動車,自動車部品1
7241,フタバ産業,プライム,自動車,自動車部品1
7280,ミツバ,プライム,自動車,自動車部品1
3569,セーレン,プライム,自動車,自動車部品1
7250,太平洋工業,プライム,自動車,自動車部品1
5988,パイオラックス,プライム,自動車,自動車部品1
6463,ＴＰＲ,プライム,自動車,自動車部品1
7239,タチエス,プライム,自動車,自動車部品1
6383,ダイフク,プライム,住設・FA,現場オートメーション機器
6506,安川電機,プライム,住設・FA,現場オートメーション機器
6586,マキタ,プライム,住設・FA,現場オートメーション機器
6645,オムロン,プライム,住設・FA,現場オートメーション機器
5332,ＴＯＴＯ,プライム,住設・FA,住宅設備
6367,ダイキン工業,プライム,住設・FA,住宅設備
5929,三和ホールディングス,プライム,住設・FA,住宅設備
5938,ＬＩＸＩＬ,プライム,住設・FA,住宅設備
1878,大東建託,プライム,住宅,住宅
1925,大和ハウス工業,プライム,住宅,住宅
1911,住友林業,プライム,住宅,住宅
1928,積水ハウス,プライム,住宅,住宅
