Code,CompanyName,MarketCodeName,Sector
7990,グローブライド,プライム,金属・資源
5411,ＪＦＥホールディングス,プライム,金属・資源
5440,共英製鋼,プライム,金属・資源
5444,大和工業,プライム,金属・資源
5471,大同特殊鋼,プライム,金属・資源
5401,日本製鉄,プライム,金属・資源
5423,東京製鐵,プライム,金属・資源
5741,ＵＡＣＪ,プライム,金属・資源
5482,愛知製鋼,プライム,金属・資源
5703,日本軽金属ホールディングス,プライム,金属・資源
7004,カナデビア,プライム,金属・資源
7915,ＮＩＳＳＨＡ,プライム,工作機械・デバイス
4062,イビデン,プライム,工作機械・デバイス
5344,ＭＡＲＵＷＡ,プライム,工作機械・デバイス
6758,ソニーグループ,プライム,工作機械・デバイス
6806,ヒロセ電機,プライム,工作機械・デバイス
6981,村田製作所,プライム,工作機械・デバイス
6951,日本電子,プライム,工作機械・デバイス
6976,太陽誘電,プライム,工作機械・デバイス
6141,ＤＭＧ森精機,プライム,工作機械・デバイス
5631,日本製鋼所,プライム,工作機械・デバイス
6103,オークマ,プライム,工作機械・デバイス
6104,芝浦機械,プライム,工作機械・デバイス
6302,住友重機械工業,プライム,工作機械・デバイス
6113,アマダ,プライム,工作機械・デバイス
6954,ファナック,プライム,工作機械・デバイス
9984,ソフトバンクグループ,プライム,工作機械・デバイス
6101,ツガミ,プライム,工作機械・デバイス
6277,ホソカワミクロン,プライム,工作機械・デバイス
6284,日精エー・エス・ビー機械,プライム,工作機械・デバイス
6118,アイダエンジニアリング,プライム,工作機械・デバイス
6135,牧野フライス製作所,プライム,工作機械・デバイス
6140,旭ダイヤモンド工業,プライム,工作機械・デバイス
6143,ソディック,プライム,工作機械・デバイス
6376,日機装,プライム,工作機械・デバイス
7105,三菱ロジスネクスト,スタンダード,工作機械・デバイス
6770,アルプスアルパイン,プライム,工作機械・デバイス
6807,日本航空電子工業,プライム,工作機械・デバイス
6762,ＴＤＫ,プライム,工作機械・デバイス
6479,ミネベアミツミ,プライム,工作機械・デバイス
6407,ＣＫＤ,プライム,工場インフラ
6622,ダイヘン,プライム,工場インフラ
6859,エスペック,プライム,工場インフラ
3433,トーカロ,プライム,工場インフラ
6516,山洋電気,プライム,工場インフラ
4971,メック,プライム,工場インフラ
6652,ＩＤＥＣ,プライム,工場インフラ
6914,オプテックスグループ,プライム,工場インフラ
6966,三井ハイテック,プライム,工場インフラ
6278,ユニオンツール,プライム,工場インフラ
6363,酉島製作所,プライム,工場インフラ
7970,信越ポリマー,プライム,工場インフラ
8154,加賀電子,プライム,工場インフラ
6861,キーエンス,プライム,産業制御機器
7741,ＨＯＹＡ,プライム,産業制御機器
6268,ナブテスコ,プライム,産業制御機器
9962,ミスミグループ本社,プライム,産業制御機器
6273,ＳＭＣ,プライム,産業制御機器
6481,ＴＨＫ,プライム,産業制御機器
4612,日本ペイントホールディングス,プライム,産業制御機器
4613,関西ペイント,プライム,産業制御機器
5101,横浜ゴム,プライム,自動車
5105,ＴＯＹＯ　ＴＩＲＥ,プライム,自動車
5108,ブリヂストン,プライム,自動車
5110,住友ゴム工業,プライム,自動車
7203,トヨタ自動車,プライム,自動車
7267,本田技研工業,プライム,自動車
7201,日産自動車,プライム,自動車
7211,三菱自動車工業,プライム,自動車
7261,マツダ,プライム,自動車
7270,ＳＵＢＡＲＵ,プライム,自動車
7202,いすゞ自動車,プライム,自動車
7272,ヤマハ発動機,プライム,自動車
7205,日野自動車,プライム,自動車
7269,スズキ,プライム,自動車
5949,ユニプレス,プライム,自動車
5975,東プレ,プライム,自動車
5991,日本発條,プライム,自動車
3116,トヨタ紡織,プライム,自動車
7259,アイシン,プライム,自動車
7282,豊田合成,プライム,自動車
6995,東海理化電機製作所,プライム,自動車
5191,住友理工,プライム,自動車
7283,愛三工業,プライム,自動車
7220,武蔵精密工業,プライム,自動車
7246,プレス工業,プライム,自動車
7278,エクセディ,プライム,自動車
7296,エフ・シー・シー,プライム,自動車
7313,テイ・エス　テック,プライム,自動車
5334,日本特殊陶業,プライム,自動車
