Code,CompanyName,SubSector,Sector
7012,川崎重工業,重工,重機・重工・重電
7013,ＩＨＩ,重工,重機・重工・重電
7936,アシックス,重工,重機・重工・重電
8136,サンリオ,重工,重機・重工・重電
2002,日清製粉グループ本社,食品4,食品3
2282,日本ハム,食品4,食品3
2802,味の素,食品4,食品3
2871,ニチレイ,食品4,食品3
6869,シスメックス,食品4,食品3
2531,宝ホールディングス,食品4,食品3
2801,キッコーマン,食品4,食品3
4543,テルモ,食品4,食品3
7733,オリンパス,食品4,食品3
9201,日本航空,空運,運輸（JR・空運）
9202,ＡＮＡホールディングス,空運,運輸（JR・空運）
1417,ミライト・ワン,建設2,建設2
1721,コムシスホールディングス,建設2,建設2
1951,エクシオグループ,建設2,建設2
4527,ロート製薬,衛生,化粧・衛生・文具
4912,ライオン,衛生,化粧・衛生・文具
7956,ピジョン,衛生,化粧・衛生・文具
8283,ＰＡＬＴＡＣ,衛生,化粧・衛生・文具
4967,小林製薬,衛生,化粧・衛生・文具
7730,マニー,衛生,化粧・衛生・文具
4061,デンカ,化学2,化学
4118,カネカ,化学2,化学
4088,エア・ウォーター,酸素,化学
4091,日本酸素ホールディングス,酸素,化学
5201,ＡＧＣ,ガラス,住宅設備
5214,日本電気硝子,ガラス,住宅設備
7550,ゼンショーホールディングス,外食1,食品2
8111,ゴールドウイン,外食1,食品2
9861,吉野家ホールディングス,外食1,食品2
3397,トリドールホールディングス,外食1,食品2
7616,コロワイド,外食1,食品2
4666,パーク２４,外食1,食品2
7867,タカラトミー,外食1,食品2
3382,セブン＆アイ・ホールディングス,総合スーパー,小売1
8267,イオン,総合スーパー,小売1
4502,武田薬品工業,医薬品4,医薬品1
4503,アステラス製薬,医薬品4,医薬品1
4568,第一三共,医薬品4,医薬品1
4578,大塚ホールディングス,医薬品4,医薬品1
9432,日本電信電話,電話,医薬品1
9433,ＫＤＤＩ,電話,医薬品1
9020,東日本旅客鉄道,JR,運輸（JR・空運）
9021,西日本旅客鉄道,JR,運輸（JR・空運）
9022,東海旅客鉄道,JR,運輸（JR・空運）
5929,三和ホールディングス,住宅設備,住宅設備
5938,ＬＩＸＩＬ,住宅設備,住宅設備
9064,ヤマトホールディングス,陸運,運輸（私鉄・陸運）
9065,山九,陸運,運輸（私鉄・陸運）
9072,ニッコンホールディングス,陸運,運輸（私鉄・陸運）
9076,セイノーホールディングス,陸運,運輸（私鉄・陸運）
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,陸運,運輸（私鉄・陸運）
1605,ＩＮＰＥＸ,石油,コモディティ（商社・石油）
5019,出光興産,石油,コモディティ（商社・石油）
5020,ＥＮＥＯＳホールディングス,石油,コモディティ（商社・石油）
5021,コスモエネルギーホールディングス,石油,コモディティ（商社・石油）
2433,博報堂ＤＹホールディングス,広告,広告・インバウンド
4324,電通グループ,広告,広告・インバウンド
4676,フジ・メディア・ホールディングス,テレビ,娯楽
9401,ＴＢＳホールディングス,テレビ,娯楽
9404,日本テレビホールディングス,テレビ,娯楽
2768,双日,商社2,コモディティ（商社・石油）
3107,ダイワボウホールディングス,商社2,コモディティ（商社・石油）
8020,兼松,商社2,コモディティ（商社・石油）
8031,三井物産,商社2,コモディティ（商社・石油）
8058,三菱商事,商社2,コモディティ（商社・石油）
4902,コニカミノルタ,商社2,コモディティ（商社・石油）
7752,リコー,商社2,コモディティ（商社・石油）
8473,ＳＢＩホールディングス,証券2,金融（その他金融）
8595,ジャフコ　グループ,証券2,金融（その他金融）
6301,小松製作所,重機,重機・重工・重電
6305,日立建機,重機,重機・重工・重電
6326,クボタ,重機,重機・重工・重電
7846,パイロットコーポレーション,文具,化粧・衛生・文具
7984,コクヨ,文具,化粧・衛生・文具
1942,関電工,インフラ工事,建設2
1959,九電工,インフラ工事,建設2
1944,きんでん,インフラ工事,建設2
1969,高砂熱学工業,インフラ工事,建設2
6501,日立製作所,重電,重機・重工・重電
6503,三菱電機,重電,重機・重工・重電
6752,パナソニック　ホールディングス,重電,重機・重工・重電
9501,東京電力ホールディングス,電力,電力・ガス
9506,東北電力,電力,電力・ガス
9513,電源開発,電力,電力・ガス
9502,中部電力,電力,電力・ガス
9504,中国電力,電力,電力・ガス
9505,北陸電力,電力,電力・ガス
9503,関西電力,電力,電力・ガス
9508,九州電力,電力,電力・ガス
9507,四国電力,電力,電力・ガス
9509,北海道電力,電力,電力・ガス
3861,王子ホールディングス,製紙,金融（地銀）
3941,レンゴー,製紙,金融（地銀）
1802,大林組,建設3,建設1
5076,インフロニア・ホールディングス,建設3,建設1
1803,清水建設,建設3,建設1
1860,戸田建設,建設3,建設1
4151,協和キリン,医薬品5,医薬品1
4507,塩野義製薬,医薬品5,医薬品1
4519,中外製薬,医薬品5,医薬品1
4523,エーザイ,医薬品5,医薬品1
9045,京阪ホールディングス,私鉄3,運輸（私鉄・陸運）
9048,名古屋鉄道,私鉄3,運輸（私鉄・陸運）
4045,東亞合成,化学3,化学
6406,フジテック,化学3,化学
8012,長瀬産業,化学3,化学
7453,良品計画,小売その他1,小売1
8273,イズミ,小売その他1,小売1
4004,レゾナック・ホールディングス,カーボン,化学
5301,東海カーボン,カーボン,化学
5232,住友大阪セメント,セメント,建設1
5233,太平洋セメント,セメント,建設1
6923,スタンレー電気,自動車部品3,自動車1
7276,小糸製作所,自動車部品3,自動車1
7988,ニフコ,自動車部品3,自動車1
2331,綜合警備保障,警備,印刷・警備
9735,セコム,警備,印刷・警備
8630,ＳＯＭＰＯホールディングス,損保,保険
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,損保,保険
8766,東京海上ホールディングス,損保,保険
5401,日本製鉄,鉄鋼,コモディティ（海運・鉄鋼）
5406,神戸製鋼所,鉄鋼,コモディティ（海運・鉄鋼）
5411,ＪＦＥホールディングス,鉄鋼,コモディティ（海運・鉄鋼）
5444,大和工業,鉄鋼,コモディティ（海運・鉄鋼）
5471,大同特殊鋼,鉄鋼,コモディティ（海運・鉄鋼）
7911,ＴＯＰＰＡＮホールディングス,印刷,印刷・警備
7912,大日本印刷,印刷,印刷・警備
6417,ＳＡＮＫＹＯ,パチンコ,娯楽
6460,セガサミーホールディングス,パチンコ,娯楽
6965,浜松ホトニクス,分析機器,機械
7701,島津製作所,分析機器,機械
