Code,CompanyName,Sector33CodeName,Sector,Current
8331,千葉銀行,銀行業,地銀,1
5844,京都フィナンシャルグループ,銀行業,地銀,1
5831,しずおかフィナンシャルグループ,銀行業,地銀,1
7167,めぶきフィナンシャルグループ,銀行業,地銀,1
7186,コンコルディア・フィナンシャルグループ,銀行業,地銀,1
8354,ふくおかフィナンシャルグループ,銀行業,地銀,1
8418,山口フィナンシャルグループ,銀行業,地銀,1
4151,協和キリン,医薬品,大手医薬品,1
4502,武田薬品工業,医薬品,大手医薬品,1
4503,アステラス製薬,医薬品,大手医薬品,1
4507,塩野義製薬,医薬品,大手医薬品,1
4519,中外製薬,医薬品,大手医薬品,1
4523,エーザイ,医薬品,大手医薬品,1
4528,小野薬品工業,医薬品,大手医薬品,1
4568,第一三共,医薬品,大手医薬品,1
4578,大塚ホールディングス,医薬品,大手医薬品,1
4506,住友ファーマ,医薬品,大手医薬品,1
5830,いよぎんホールディングス,銀行業,地銀,1
5832,ちゅうぎんフィナンシャルグループ,銀行業,地銀,1
7180,九州フィナンシャルグループ,銀行業,地銀,1
7337,ひろぎんホールディングス,銀行業,地銀,1
8334,群馬銀行,銀行業,地銀,1
8359,八十二銀行,銀行業,地銀,1
8377,ほくほくフィナンシャルグループ,銀行業,地銀,1
4516,日本新薬,医薬品,中堅医薬品,1
4521,科研製薬,医薬品,中堅医薬品,1
4530,久光製薬,医薬品,中堅医薬品,1
4536,参天製薬,医薬品,中堅医薬品,1
4540,ツムラ,医薬品,中堅医薬品,1
4587,ペプチドリーム,医薬品,中堅医薬品,1
4887,サワイグループホールディングス,医薬品,中堅医薬品,1
5401,日本製鉄,鉄鋼,鉄鋼,1
5406,神戸製鋼所,鉄鋼,鉄鋼,1
5411,ＪＦＥホールディングス,鉄鋼,鉄鋼,1
5471,大同特殊鋼,鉄鋼,鉄鋼,1
4021,日産化学,化学,電気機器,1
4185,ＪＳＲ,化学,電気機器,1
4186,東京応化工業,化学,電気機器,1
6367,ダイキン工業,機械,電気機器,1
6501,日立製作所,電気機器,電気機器,1
6503,三菱電機,電気機器,電気機器,1
6504,富士電機,電気機器,電気機器,1
6592,マブチモーター,電気機器,電気機器,1
6754,アンリツ,電気機器,電気機器,1
6806,ヒロセ電機,電気機器,電気機器,1
6841,横河電機,電気機器,電気機器,1
6856,堀場製作所,電気機器,電気機器,1
6925,ウシオ電機,電気機器,電気機器,1
6951,日本電子,電気機器,電気機器,1
6971,京セラ,電気機器,電気機器,1
6988,日東電工,化学,電気機器,1
4063,信越化学工業,化学,電気機器,1
6594,ニデック,電気機器,電気機器,1
4385,メルカリ,情報･通信業,電気機器,1
3765,ガンホー・オンライン・エンターテイメント,情報･通信業,電気機器2,1
5901,東洋製罐グループホールディングス,金属製品,電気機器2,1
6586,マキタ,機械,電気機器2,1
6701,日本電気,電気機器,電気機器2,1
6702,富士通,電気機器,電気機器2,1
7751,キヤノン,電気機器,電気機器2,1
7974,任天堂,その他製品,電気機器2,1
9301,三菱倉庫,倉庫･運輸関連業,電気機器2,1
9983,ファーストリテイリング,小売業,電気機器2,1
6762,ＴＤＫ,電気機器,電子部品,1
6770,アルプスアルパイン,電気機器,電子部品,1
4062,イビデン,電気機器,電子部品,1
6479,ミネベアミツミ,電気機器,電子部品,1
6967,新光電気工業,電気機器,電子部品,1
6976,太陽誘電,電気機器,電子部品,1
6981,村田製作所,電気機器,電子部品,1
9501,東京電力ホールディングス,電気･ガス業,電力,1
9502,中部電力,電気･ガス業,電力,1
9503,関西電力,電気･ガス業,電力,1
9504,中国電力,電気･ガス業,電力,1
9505,北陸電力,電気･ガス業,電力,1
9506,東北電力,電気･ガス業,電力,1
9507,四国電力,電気･ガス業,電力,1
9508,九州電力,電気･ガス業,電力,1
9509,北海道電力,電気･ガス業,電力,1
9513,電源開発,電気･ガス業,電力,1
8304,あおぞら銀行,銀行業,都銀・保険,1
8306,三菱ＵＦＪフィナンシャル・グループ,銀行業,都銀・保険,1
8308,りそなホールディングス,銀行業,都銀・保険,1
8309,三井住友トラスト・ホールディングス,銀行業,都銀・保険,1
8316,三井住友フィナンシャルグループ,銀行業,都銀・保険,1
8410,セブン銀行,銀行業,都銀・保険,1
8411,みずほフィナンシャルグループ,銀行業,都銀・保険,1
8630,ＳＯＭＰＯホールディングス,保険業,都銀・保険,1
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,保険業,都銀・保険,1
8750,第一生命ホールディングス,保険業,都銀・保険,1
8766,東京海上ホールディングス,保険業,都銀・保険,1
8795,Ｔ＆Ｄホールディングス,保険業,都銀・保険,1
7181,かんぽ生命保険,保険業,都銀・保険,1
7182,ゆうちょ銀行,銀行業,都銀・保険,1
3436,ＳＵＭＣＯ,金属製品,半導体,1
6146,ディスコ,機械,半導体,1
6723,ルネサスエレクトロニクス,電気機器,半導体,1
6728,アルバック,電気機器,半導体,1
6857,アドバンテスト,電気機器,半導体,1
6920,レーザーテック,電気機器,半導体,1
6963,ローム,電気機器,半導体,1
7735,ＳＣＲＥＥＮホールディングス,電気機器,半導体,1
8035,東京エレクトロン,電気機器,半導体,1
5706,三井金属鉱業,非鉄金属,非鉄金属,1
5711,三菱マテリアル,非鉄金属,非鉄金属,1
5713,住友金属鉱山,非鉄金属,非鉄金属,1
5714,ＤＯＷＡホールディングス,非鉄金属,非鉄金属,1
3086,Ｊ．フロント　リテイリング,小売業,百貨店,1
3099,三越伊勢丹ホールディングス,小売業,百貨店,1
8233,高島屋,小売業,百貨店,1
8252,丸井グループ,小売業,百貨店,1
3591,ワコールホールディングス,繊維製品,文具・物流,1
7846,パイロットコーポレーション,その他製品,文具・物流,1
7984,コクヨ,その他製品,文具・物流,1
9065,山九,陸運業,文具・物流,1
9072,ニッコンホールディングス,陸運業,文具・物流,1
9076,セイノーホールディングス,陸運業,文具・物流,1
9364,上組,倉庫･運輸関連業,文具・物流,1
9143,ＳＧホールディングス,陸運業,文具・物流,1
4666,パーク２４,不動産業,旅客,1
4681,リゾートトラスト,サービス業,旅客,1
9005,東急,陸運業,旅客,1
9020,東日本旅客鉄道,陸運業,旅客,1
9021,西日本旅客鉄道,陸運業,旅客,1
9022,東海旅客鉄道,陸運業,旅客,1
9024,西武ホールディングス,陸運業,旅客,1
9201,日本航空,空運業,旅客,1
9202,ＡＮＡホールディングス,空運業,旅客,1
9616,共立メンテナンス,サービス業,旅客,1
9706,日本空港ビルデング,不動産業,旅客,1
9142,九州旅客鉄道,陸運業,旅客,1
1942,関電工,建設業,インフラ,1
1969,高砂熱学工業,建設業,インフラ,1
2327,日鉄ソリューションズ,情報･通信業,ITインフラ,1
5344,MARUWA,ガラス･土石製品,半導体,1
5393,ニチアス,ガラス･土石製品,インフラ,1
5838,楽天銀行,銀行業,地銀,1
6323,ローツェ,機械,半導体,1
6525,KOKUSAI ELECTRIC,電気機器,半導体,1
6632,JVCケンウッド,電気機器,OA機器,1
8020,兼松,卸売業,商社,1
8242,エイチ・ツー・オー　リテイリング,小売業,百貨店,1
8341,七十七銀行,銀行業,地銀,1
9749,富士ソフト,情報･通信業,ITインフラ,1
9759,NSD,情報･通信業,ITインフラ,1
9934,因幡電機産業,卸売業,インフラ,1
