Code,CompanyName,Level0,Level1,Level2,Level3,Level4,Level5,Cluster,Subsector,Sector
8035,東京エレクトロン,23,2,1,-1,-1,-1,67,半導体,半導体
5344,ＭＡＲＵＷＡ,23,2,2,1,-1,-1,68,半導体,半導体
6754,アンリツ,23,2,2,1,-1,-1,68,半導体,半導体
6920,レーザーテック,23,2,2,1,-1,-1,68,半導体,半導体
8111,ゴールドウイン,23,2,2,1,-1,-1,68,半導体,半導体
6723,ルネサスエレクトロニクス,23,2,2,2,-1,-1,69,半導体,半導体
6857,アドバンテスト,23,2,2,2,-1,-1,69,半導体,半導体
4307,野村総合研究所,24,-1,-1,-1,-1,-1,70,IT3,IT2
4684,オービック,24,1,-1,-1,-1,-1,71,IT3,IT2
4733,オービックビジネスコンサルタント,24,1,-1,-1,-1,-1,71,IT3,IT2
4716,日本オラクル,24,2,-1,-1,-1,-1,72,IT3,IT2
4768,大塚商会,24,2,-1,-1,-1,-1,72,IT3,IT2
2433,博報堂ＤＹホールディングス,25,-1,-1,-1,-1,-1,73,広告,メディア
4324,電通グループ,25,-1,-1,-1,-1,-1,73,広告,メディア
3003,ヒューリック,26,1,-1,-1,-1,-1,74,不動産1,不動産
3291,飯田グループホールディングス,26,1,-1,-1,-1,-1,74,不動産1,不動産
8804,東京建物,26,1,-1,-1,-1,-1,74,不動産1,不動産
3231,野村不動産ホールディングス,26,2,-1,-1,-1,-1,75,不動産2,不動産
3289,東急不動産ホールディングス,26,2,-1,-1,-1,-1,75,不動産2,不動産
8905,イオンモール,26,2,-1,-1,-1,-1,75,不動産2,不動産
3402,東レ,27,1,-1,-1,-1,-1,76,化学1,化学1
4005,住友化学,27,1,-1,-1,-1,-1,76,化学1,化学1
4208,ＵＢＥ,27,1,-1,-1,-1,-1,76,化学1,化学1
4114,日本触媒,27,2,1,-1,-1,-1,77,化学1,化学1
4205,日本ゼオン,27,2,1,-1,-1,-1,77,化学1,化学1
4401,ＡＤＥＫＡ,27,2,1,-1,-1,-1,77,化学1,化学1
3401,帝人,27,2,2,1,-1,-1,78,化学1,化学1
3407,旭化成,27,2,2,1,-1,-1,78,化学1,化学1
4042,東ソー,27,2,2,1,-1,-1,78,化学1,化学1
4183,三井化学,27,2,2,1,-1,-1,78,化学1,化学1
