Code,CompanyName,SubSector,Sector,Current
7718,スター精密,電機・精密機器,化学工業（電機・精密機器）,1
6250,やまびこ,電機・精密機器,化学工業（電機・精密機器）,1
6371,椿本チエイン,電機・精密機器,化学工業（電機・精密機器）,1
6376,日機装,電機・精密機器,化学工業（電機・精密機器）,1
5801,古河電気工業,電機・精密機器,化学工業（電機・精密機器）,1
6753,シャープ,電機・精密機器,化学工業（電機・精密機器）,1
5803,フジクラ,電機・精密機器,化学工業（電機・精密機器）,1
6472,ＮＴＮ,電機・精密機器,化学工業（電機・精密機器）,1
6632,ＪＶＣケンウッド,電機・精密機器,化学工業（電機・精密機器）,1
7242,カヤバ,電機・精密機器,化学工業（電機・精密機器）,1
2433,博報堂ＤＹホールディングス,広告,化学工業（電機・精密機器）,1
4324,電通グループ,広告,化学工業（電機・精密機器）,1
9101,日本郵船,海運（大手）,海運,1
9104,商船三井,海運（大手）,海運,1
9107,川崎汽船,海運（大手）,海運,1
9110,ＮＳユナイテッド海運,海運（中堅）,海運,1
9119,飯野海運,海運（中堅）,海運,1
8424,芙蓉総合リース,リース,金融（リース・ローン）,1
8425,みずほリース,リース,金融（リース・ローン）,1
8566,リコーリース,リース,金融（リース・ローン）,1
8253,クレディセゾン,クレジット,金融（リース・ローン）,1
8570,イオンフィナンシャルサービス,クレジット,金融（リース・ローン）,1
8584,ジャックス,ローン,金融（リース・ローン）,1
8515,アイフル,ローン,金融（リース・ローン）,1
8572,アコム,ローン,金融（リース・ローン）,1
8585,オリエントコーポレーション,ローン,金融（リース・ローン）,1
8771,イー・ギャランティ,ローン,金融（リース・ローン）,1
7164,全国保証,リース,金融（リース・ローン）,1
8439,東京センチュリー,リース,金融（リース・ローン）,1
8511,日本証券金融,リース,金融（リース・ローン）,1
8591,オリックス,リース,金融（リース・ローン）,1
8593,三菱ＨＣキャピタル,リース,金融（リース・ローン）,1
8473,ＳＢＩホールディングス,証券（大手）,金融（証券）,1
8628,松井証券,証券（大手）,金融（証券）,1
8698,マネックスグループ,証券（大手）,金融（証券）,1
8595,ジャフコ グループ,証券（大手）,金融（証券）,1
8601,大和証券グループ本社,証券（大手）,金融（証券）,1
8604,野村ホールディングス,証券（大手）,金融（証券）,1
8697,日本取引所グループ,証券（大手）,金融（証券）,1
8609,岡三証券グループ,証券（中堅）,金融（証券）,1
8613,丸三証券,証券（中堅）,金融（証券）,1
8616,東海東京フィナンシャル・ホールディングス,証券（中堅）,金融（証券）,1
8706,極東証券,証券（中堅）,金融（証券）,1
8336,武蔵野銀行,地銀（小規模）,銀行（地銀）,1
8337,千葉興業銀行,地銀（小規模）,銀行（地銀）,1
8714,池田泉州ホールディングス,地銀（小規模）,銀行（地銀）,1
8346,東邦銀行,地銀（小規模）,銀行（地銀）,1
8361,大垣共立銀行,地銀（小規模）,銀行（地銀）,1
8367,南都銀行,地銀（小規模）,銀行（地銀）,1
8386,百十四銀行,地銀（小規模）,銀行（地銀）,1
8544,京葉銀行,地銀（小規模）,銀行（地銀）,1
8368,百五銀行,地銀（小規模）,銀行（地銀）,1
8388,阿波銀行,地銀（小規模）,銀行（地銀）,1
8522,名古屋銀行,地銀（小規模）,銀行（地銀）,1
8600,トモニホールディングス,地銀（小規模）,銀行（地銀）,1
7337,ひろぎんホールディングス,地銀（中堅）,銀行（地銀）,1
8377,ほくほくフィナンシャルグループ,地銀（中堅）,銀行（地銀）,1
8381,山陰合同銀行,地銀（中堅）,銀行（地銀）,1
8524,北洋銀行,地銀（中堅）,銀行（地銀）,1
5830,いよぎんホールディングス,地銀（中堅）,銀行（地銀）,1
8334,群馬銀行,地銀（中堅）,銀行（地銀）,1
8341,七十七銀行,地銀（中堅）,銀行（地銀）,1
8358,スルガ銀行,地銀（中堅）,銀行（地銀）,1
8359,八十二銀行,地銀（中堅）,銀行（地銀）,1
8418,山口フィナンシャルグループ,地銀（中堅）,銀行（地銀）,1
5832,ちゅうぎんフィナンシャルグループ,地銀（中堅）,銀行（地銀）,1
5844,京都フィナンシャルグループ,地銀（中堅）,銀行（地銀）,1
7180,九州フィナンシャルグループ,地銀（中堅）,銀行（地銀）,1
8366,滋賀銀行,地銀（中堅）,銀行（地銀）,1
5831,しずおかフィナンシャルグループ,地銀（大手）,銀行（都銀・大手地銀）,1
8410,セブン銀行,地銀（大手）,銀行（都銀・大手地銀）,1
7186,コンコルディア・フィナンシャルグループ,地銀（大手）,銀行（都銀・大手地銀）,1
8331,千葉銀行,地銀（大手）,銀行（都銀・大手地銀）,1
8354,ふくおかフィナンシャルグループ,地銀（大手）,銀行（都銀・大手地銀）,1
8304,あおぞら銀行,都銀,銀行（都銀・大手地銀）,1
8411,みずほフィナンシャルグループ,都銀,銀行（都銀・大手地銀）,1
8306,三菱ＵＦＪフィナンシャル・グループ,都銀,銀行（都銀・大手地銀）,1
8308,りそなホールディングス,都銀,銀行（都銀・大手地銀）,1
8309,三井住友トラストグループ,都銀,銀行（都銀・大手地銀）,1
8316,三井住友フィナンシャルグループ,都銀,銀行（都銀・大手地銀）,1
1941,中電工,インフラ工事（中堅）,建設（エネルギー工事）,1
1961,三機工業,インフラ工事（中堅）,建設（エネルギー工事）,1
1969,高砂熱学工業,インフラ工事（中堅）,建設（エネルギー工事）,1
1942,関電工,インフラ工事（大手）,建設（エネルギー工事）,1
1944,きんでん,インフラ工事（大手）,建設（エネルギー工事）,1
1949,住友電設,インフラ工事（大手）,建設（エネルギー工事）,1
1959,九電工,インフラ工事（大手）,建設（エネルギー工事）,1
1979,大氣社,インフラ工事（大手）,建設（エネルギー工事）,1
1417,ミライト・ワン,通信インフラ,建設（大手ゼネコン・交通通信）,1
1721,コムシスホールディングス,通信インフラ,建設（大手ゼネコン・交通通信）,1
1951,エクシオグループ,通信インフラ,建設（大手ゼネコン・交通通信）,1
1802,大林組,建設（インフラ）,建設（大手ゼネコン・交通通信）,1
1803,清水建設,建設（インフラ）,建設（大手ゼネコン・交通通信）,1
5076,インフロニア・ホールディングス,建設（インフラ）,建設（大手ゼネコン・交通通信）,1
1885,東亜建設工業,建設（インフラ）,建設（大手ゼネコン・交通通信）,1
1835,東鉄工業,建設（インフラ）,建設（大手ゼネコン・交通通信）,1
7821,前田工繊,建設（インフラ）,建設（大手ゼネコン・交通通信）,1
1414,ショーボンドホールディングス,建設（インフラ）,建設（大手ゼネコン・交通通信）,1
1884,日本道路,建設（インフラ）,建設（大手ゼネコン・交通通信）,1
1890,東洋建設,建設（インフラ）,建設（大手ゼネコン・交通通信）,1
1893,五洋建設,建設（インフラ）,建設（大手ゼネコン・交通通信）,1
1833,奥村組,ゼネコン（中堅）2,建設（大手ゼネコン・交通通信）,1
1860,戸田建設,ゼネコン（中堅）2,建設（大手ゼネコン・交通通信）,1
1801,大成建設,ゼネコン（大手）2,建設（大手ゼネコン・交通通信）,1
1812,鹿島建設,ゼネコン（大手）2,建設（大手ゼネコン・交通通信）,1
1719,安藤・間,ゼネコン（中堅）,建設（中堅ゼネコン・建材）,1
1720,東急建設,ゼネコン（中堅）,建設（中堅ゼネコン・建材）,1
1861,熊谷組,ゼネコン（中堅）,建設（中堅ゼネコン・建材）,1
1820,西松建設,ゼネコン（中堅）,建設（中堅ゼネコン・建材）,1
1926,ライト工業,ゼネコン（中堅）,建設（中堅ゼネコン・建材）,1
5911,横河ブリッジホールディングス,ゼネコン（中堅）,建設（中堅ゼネコン・建材）,1
1821,三井住友建設,ゼネコン（中堅）,建設（中堅ゼネコン・建材）,1
1852,淺沼組,ゼネコン（中堅）,建設（中堅ゼネコン・建材）,1
3431,宮地エンジニアリンググループ,ゼネコン（中堅）,建設（中堅ゼネコン・建材）,1
1898,世紀東急工業,ゼネコン（中堅）,建設（中堅ゼネコン・建材）,1
5805,ＳＷＣＣ,ゼネコン（中堅）,建設（中堅ゼネコン・建材）,1
5232,住友大阪セメント,セメント,建設（中堅ゼネコン・建材）,1
5233,太平洋セメント,セメント,建設（中堅ゼネコン・建材）,1
6737,ＥＩＺＯ,セメント,建設（中堅ゼネコン・建材）,1
5191,住友理工,自動車部品（機能・内装）,自動車（タイヤ・車体・機能部品）,1
7280,ミツバ,自動車部品（機能・内装）,自動車（タイヤ・車体・機能部品）,1
7283,愛三工業,自動車部品（機能・内装）,自動車（タイヤ・車体・機能部品）,1
5988,パイオラックス,自動車部品（機能・内装）,自動車（タイヤ・車体・機能部品）,1
6463,ＴＰＲ,自動車部品（機能・内装）,自動車（タイヤ・車体・機能部品）,1
6995,東海理化電機製作所,自動車部品（機能・内装）,自動車（タイヤ・車体・機能部品）,1
7239,タチエス,自動車部品（機能・内装）,自動車（タイヤ・車体・機能部品）,1
7250,太平洋工業,自動車部品（機能・内装）,自動車（タイヤ・車体・機能部品）,1
7313,テイ・エス テック,自動車部品（機能・内装）,自動車（タイヤ・車体・機能部品）,1
7220,武蔵精密工業,自動車部品（機能・内装）,自動車（タイヤ・車体・機能部品）,1
7296,エフ・シー・シー,自動車部品（機能・内装）,自動車（タイヤ・車体・機能部品）,1
7241,フタバ産業,自動車部品（機能・内装）,自動車（タイヤ・車体・機能部品）,1
7246,プレス工業,自動車部品（機能・内装）,自動車（タイヤ・車体・機能部品）,1
7278,エクセディ,自動車部品（機能・内装）,自動車（タイヤ・車体・機能部品）,1
8097,三愛オブリ,自動車部品（機能・内装）,自動車（タイヤ・車体・機能部品）,1
3116,トヨタ紡織,自動車部品（車体・内外装）,自動車（タイヤ・車体・機能部品）,1
5949,ユニプレス,自動車部品（車体・内外装）,自動車（タイヤ・車体・機能部品）,1
5975,東プレ,自動車部品（車体・内外装）,自動車（タイヤ・車体・機能部品）,1
5991,日本発條,自動車部品（車体・内外装）,自動車（タイヤ・車体・機能部品）,1
7259,アイシン,自動車部品（車体・内外装）,自動車（タイヤ・車体・機能部品）,1
7282,豊田合成,自動車部品（車体・内外装）,自動車（タイヤ・車体・機能部品）,1
5101,横浜ゴム,タイヤ,自動車（タイヤ・車体・機能部品）,1
5105,ＴＯＹＯ ＴＩＲＥ,タイヤ,自動車（タイヤ・車体・機能部品）,1
5110,住友ゴム工業,タイヤ,自動車（タイヤ・車体・機能部品）,1
7201,日産自動車,完成車（中堅）,自動車（完成車）,1
7211,三菱自動車工業,完成車（中堅）,自動車（完成車）,1
7261,マツダ,完成車（中堅）,自動車（完成車）,1
7270,ＳＵＢＡＲＵ,完成車（中堅）,自動車（完成車）,1
5108,ブリヂストン,完成車（大手）,自動車（完成車）,1
7203,トヨタ自動車,完成車（大手）,自動車（完成車）,1
7267,本田技研工業,完成車（大手）,自動車（完成車）,1
7202,いすゞ自動車,完成車（特殊）,自動車（特殊車両・基幹部品）,1
7205,日野自動車,完成車（特殊）,自動車（特殊車両・基幹部品）,1
7269,スズキ,完成車（特殊）,自動車（特殊車両・基幹部品）,1
7272,ヤマハ発動機,完成車（特殊）,自動車（特殊車両・基幹部品）,1
6923,スタンレー電気,自動車部品（照明・樹脂）,自動車（特殊車両・基幹部品）,1
7276,小糸製作所,自動車部品（照明・樹脂）,自動車（特殊車両・基幹部品）,1
7988,ニフコ,自動車部品（照明・樹脂）,自動車（特殊車両・基幹部品）,1
