,Code,Sector,Sector33CodeName
500,6005,塗料・酸素,
501,6013,インフラ整備,
502,6028,外食2・学習塾,
503,6035,ITサービス,
504,6036,ロードサイド,
505,6050,ITソリューション,
506,6055,半導体1,
507,6058,ITソリューション,
508,6080,ITソリューション,
509,6088,ITソリューション,
510,6095,ITサービス,
511,6098,SIer2,
512,6099,エラン,
513,6101,産業機械1,
514,6103,工作機械,
515,6104,工作機械,
516,6113,工作機械,
517,6118,特殊産業機器,
518,6134,センサー・産機,
519,6135,工作機械,
520,6136,機械部品1,
521,6140,特殊産業機器,
522,6141,工作機械,
523,6143,工作機械,
524,6146,半導体1,
525,6178,都銀・保険,
526,6183,ベルシステム２４ホールディングス,
527,6184,鎌倉新書,
528,6191,エアトリ,
529,6194,アトラエ,
530,6196,ストライク,
531,6197,ソラスト,
532,6200,インソース,
533,6201,トヨタ系他,
534,6222,特殊産業機器,
535,6238,ロードサイド,
536,6240,ヤマシンフィルタ,
537,6250,自動車部品1,
538,6254,半導体1,
539,6258,電子部品,
540,6266,半導体1,
541,6268,産業機械1,
542,6269,三井系,
543,6272,特殊産業機器,
544,6273,産業機械1,
545,6277,特殊産業機器,
546,6278,特殊産業機器,
547,6282,オイレス工業,
548,6284,特殊産業機器,
549,6287,サトーホールディングス,
550,6289,土木・道路,
551,6301,重機・重工,
552,6302,重機・重工,
553,6305,重機・重工,
554,6310,重機・重工,
555,6315,半導体1,
556,6323,半導体1,
557,6326,重機・重工,
558,6330,三井系,
559,6340,澁谷工業,
560,6349,特殊産業機器,
561,6361,機械部品1,
562,6366,重機・重工,
563,6367,センサー・産機,
564,6368,オルガノ,
565,6369,トーヨーカネツ,
566,6370,塗料・酸素,
567,6371,自動車部品1,
568,6376,日機装,
569,6383,センサー・産機,
570,6390,自動車部品1,
571,6395,重機・重工,
572,6406,フジテック,
573,6407,産業機械1,
574,6412,遊戯機器,
575,6413,専門商社,
576,6417,遊戯機器,
577,6418,遊戯機器,
578,6419,遊戯機器,
579,6420,中堅ゼネコン・設計,
580,6430,遊戯機器,
581,6432,重機・重工,
582,6436,住宅,
583,6440,工作機械,
584,6444,自動車,
585,6448,OA機器・時計,
586,6454,マックス,
587,6457,グローリー,
588,6458,新晃工業,
589,6460,遊戯機器,
590,6463,自動車部品（ゴム）,
591,6464,機械部品1,
592,6465,住宅,
593,6471,機械部品1,
594,6472,機械部品1,
595,6473,機械部品1,
596,6474,機械部品1,
597,6479,電子部品,
598,6480,自動車部品1,
599,6481,産業機械1,
600,6486,自動車部品2,
601,6490,中堅化学,
602,6498,専門商社,
603,6501,重電,
604,6503,重電,
605,6504,ガラス・電気,
606,6506,産業機械1,
607,6507,シンフォニアテクノロジー,
608,6508,重電,
609,6516,電源,
610,6532,ベイカレント・コンサルティング,
611,6584,自動車,
612,6586,センサー・産機,
613,6588,OA機器・時計,
614,6590,半導体1,
615,6592,自動車部品（ゴム）,
616,6594,センサー・産機,
617,6616,トレックス・セミコンダクター,
618,6619,ヘルスケア,
619,6622,電源,
620,6630,衛生,
621,6632,ガラス・電気,
622,6644,大崎電気工業,
623,6645,産業機械1,
624,6651,日東工業,
625,6652,ＩＤＥＣ,
626,6674,ガラス・電気,
627,6676,OA機器・時計,
628,6701,証券,
629,6702,PC・ソシャゲ,
630,6703,OA機器・時計,
631,6707,機械部品1,
632,6723,半導体1,
633,6724,OA機器・時計,
634,6727,センサー・産機,
635,6728,半導体1,
636,6737,ＥＩＺＯ,
637,6740,OA機器・時計,
638,6741,日本信号,
639,6744,中堅ゼネコン・設計,
640,6750,食品2,
641,6752,機械部品2,
642,6753,OA機器・時計,
643,6754,電子部品,
644,6755,住宅,
645,6758,センサー・産機,
646,6762,電子部品,
647,6768,自動車部品1,
648,6770,電子部品,
649,6779,日本電波工業,
650,6787,半導体1,
651,6789,特殊産業機器,
652,6794,機械部品2,
653,6800,自動車部品1,
654,6804,自動車部品1,
655,6806,センサー・産機,
656,6807,電子部品,
657,6810,マクセル,
658,6814,古野電気,
659,6817,自動車部品1,
660,6841,樹脂等,
661,6844,自動車部品1,
662,6845,センサー・産機,
663,6849,食品1,
664,6856,産業機械1,
665,6857,半導体1,
666,6859,特殊産業機器,
667,6861,センサー・産機,
668,6866,センサー・産機,
669,6869,ヘルスケア,
